🕘️更新时间,#genre#
2025-05-24 18:14:04,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2eaebe&tk=822270345d4c

☘️广东频道,#genre#
汕头综合,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2eaebe&tk=822270345d4c
汕头经济,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=b8803a&tk=822270345d4c
汕头文旅,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7bfe50&tk=822270345d4c

🌊港·澳·台,#genre#
凤凰卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&amp;wsIPSercert=8de23d0849e78e3b16ec92a2092354$订阅源
凤凰卫视,http://218.202.220.2:5000/nn_live.ts?id=NEWSASIA$订阅源
凤凰卫视,http://qjrhc.jydjd.top:2911/udp/224.1.100.3:11111
凤凰卫视,http://119.32.12.17:2901/udp/224.1.100.3:11111
凤凰卫视,http://120.198.101.106:9901/tsfile/live/1062_1.m3u8?key=txiptv
凤凰卫视,http://122.152.202.33/s/81a8a44f/index.m3u8?id=15
无线新闻,https://edge2a.v2h-cdn.com/news/news.stream/chunklist.m3u8
无线新闻,http://122.152.202.33/s/81a8a44f/index.m3u8?id=21
